000000 000000 [hunk] lha start:002000 end:00ef60
000001 000001 [args] e skid.lha_
000002 000002 [home] .
001141 0020b6: 20dc                : move.l  (A4)+, (A0)+
001142 0020b8: 5380                : subq.l  #1, D0
001143 0020ba: 66fa                : bne     $20b6
001144 0020b6: 20dc                : move.l  (A4)+, (A0)+
001191 0020b8: 5380                : subq.l  #1, D0
001192 0020ba: 66fa                : bne     $20b6
001193 0020b6: 20dc                : move.l  (A4)+, (A0)+
001194 0020b8: 5380                : subq.l  #1, D0
001195 0020ba: 66fa                : bne     $20b6
001196 0020b6: 20dc                : move.l  (A4)+, (A0)+
0011e3 0020b8: 5380                : subq.l  #1, D0
0011e4 0020ba: 66fa                : bne     $20b6
0011e5 0020b6: 20dc                : move.l  (A4)+, (A0)+
0011e6 0020b8: 5380                : subq.l  #1, D0
0011e7 0020ba: 66fa                : bne     $20b6
0011e8 0020b6: 20dc                : move.l  (A4)+, (A0)+
001235 0020b8: 5380                : subq.l  #1, D0
001236 0020ba: 66fa                : bne     $20b6
001237 0020b6: 20dc                : move.l  (A4)+, (A0)+
001238 0020b8: 5380                : subq.l  #1, D0
001239 0020ba: 66fa                : bne     $20b6
00123a 0020b6: 20dc                : move.l  (A4)+, (A0)+
001287 0020b8: 5380                : subq.l  #1, D0
001288 0020ba: 66fa                : bne     $20b6
001289 0020b6: 20dc                : move.l  (A4)+, (A0)+
00128a 0020b8: 5380                : subq.l  #1, D0
00128b 0020ba: 66fa                : bne     $20b6
00128c 0020b6: 20dc                : move.l  (A4)+, (A0)+
0012d9 0020b8: 5380                : subq.l  #1, D0
0012da 0020ba: 66fa                : bne     $20b6
0012db 0020b6: 20dc                : move.l  (A4)+, (A0)+
0012dc 0020b8: 5380                : subq.l  #1, D0
0012dd 0020ba: 66fa                : bne     $20b6
0012de 0020b6: 20dc                : move.l  (A4)+, (A0)+
00132b 0020b8: 5380                : subq.l  #1, D0
00132c 0020ba: 66fa                : bne     $20b6
00132d 0020b6: 20dc                : move.l  (A4)+, (A0)+
00132e 0020b8: 5380                : subq.l  #1, D0
00132f 0020ba: 66fa                : bne     $20b6
001330 0020b6: 20dc                : move.l  (A4)+, (A0)+
00137d 0020b8: 5380                : subq.l  #1, D0
00137e 0020ba: 66fa                : bne     $20b6
00137f 0020b6: 20dc                : move.l  (A4)+, (A0)+
001380 0020b8: 5380                : subq.l  #1, D0
001381 0020ba: 66fa                : bne     $20b6
001382 0020b6: 20dc                : move.l  (A4)+, (A0)+
0013cf 0020b8: 5380                : subq.l  #1, D0
0013d0 0020ba: 66fa                : bne     $20b6
0013d1 0020b6: 20dc                : move.l  (A4)+, (A0)+
0013d2 0020b8: 5380                : subq.l  #1, D0
0013d3 0020ba: 66fa                : bne     $20b6
0013d4 0020b6: 20dc                : move.l  (A4)+, (A0)+
001421 0020b8: 5380                : subq.l  #1, D0
001422 0020ba: 66fa                : bne     $20b6
001423 0020b6: 20dc                : move.l  (A4)+, (A0)+
001424 0020b8: 5380                : subq.l  #1, D0
001425 0020ba: 66fa                : bne     $20b6
001426 0020b6: 20dc                : move.l  (A4)+, (A0)+
001473 0020b8: 5380                : subq.l  #1, D0
001474 0020ba: 66fa                : bne     $20b6
001475 0020b6: 20dc                : move.l  (A4)+, (A0)+
001476 0020b8: 5380                : subq.l  #1, D0
001477 0020ba: 66fa                : bne     $20b6
001478 0020b6: 20dc                : move.l  (A4)+, (A0)+
0014c5 0020b8: 5380                : subq.l  #1, D0
0014c6 0020ba: 66fa                : bne     $20b6
0014c7 0020b6: 20dc                : move.l  (A4)+, (A0)+
0014c8 0020b8: 5380                : subq.l  #1, D0
0014c9 0020ba: 66fa                : bne     $20b6
0014ca 0020b6: 20dc                : move.l  (A4)+, (A0)+
001517 0020b8: 5380                : subq.l  #1, D0
001518 0020ba: 66fa                : bne     $20b6
001519 0020b6: 20dc                : move.l  (A4)+, (A0)+
00151a 0020b8: 5380                : subq.l  #1, D0
00151b 0020ba: 66fa                : bne     $20b6
00151c 0020b6: 20dc                : move.l  (A4)+, (A0)+
001569 0020b8: 5380                : subq.l  #1, D0
00156a 0020ba: 66fa                : bne     $20b6
00156b 0020b6: 20dc                : move.l  (A4)+, (A0)+
00156c 0020b8: 5380                : subq.l  #1, D0
00156d 0020ba: 66fa                : bne     $20b6
00156e 0020b6: 20dc                : move.l  (A4)+, (A0)+
0015bb 0020b8: 5380                : subq.l  #1, D0
0015bc 0020ba: 66fa                : bne     $20b6
0015bd 0020b6: 20dc                : move.l  (A4)+, (A0)+
0015be 0020b8: 5380                : subq.l  #1, D0
0015bf 0020ba: 66fa                : bne     $20b6
0015c0 0020b6: 20dc                : move.l  (A4)+, (A0)+
00160d 0020b8: 5380                : subq.l  #1, D0
00160e 0020ba: 66fa                : bne     $20b6
00160f 0020b6: 20dc                : move.l  (A4)+, (A0)+
001610 0020b8: 5380                : subq.l  #1, D0
001611 0020ba: 66fa                : bne     $20b6
001612 0020b6: 20dc                : move.l  (A4)+, (A0)+
00165f 0020b8: 5380                : subq.l  #1, D0
001660 0020ba: 66fa                : bne     $20b6
001661 0020b6: 20dc                : move.l  (A4)+, (A0)+
001662 0020b8: 5380                : subq.l  #1, D0
001663 0020ba: 66fa                : bne     $20b6
001664 0020b6: 20dc                : move.l  (A4)+, (A0)+
0016b1 0020b8: 5380                : subq.l  #1, D0
0016b2 0020ba: 66fa                : bne     $20b6
0016b3 0020b6: 20dc                : move.l  (A4)+, (A0)+
0016b4 0020b8: 5380                : subq.l  #1, D0
0016b5 0020ba: 66fa                : bne     $20b6
0016b6 0020b6: 20dc                : move.l  (A4)+, (A0)+
001703 0020b8: 5380                : subq.l  #1, D0
001704 0020ba: 66fa                : bne     $20b6
001705 0020b6: 20dc                : move.l  (A4)+, (A0)+
001706 0020b8: 5380                : subq.l  #1, D0
001707 0020ba: 66fa                : bne     $20b6
001708 0020b6: 20dc                : move.l  (A4)+, (A0)+
001755 0020b8: 5380                : subq.l  #1, D0
001756 0020ba: 66fa                : bne     $20b6
001757 0020b6: 20dc                : move.l  (A4)+, (A0)+
001758 0020b8: 5380                : subq.l  #1, D0
001759 0020ba: 66fa                : bne     $20b6
00175a 0020b6: 20dc                : move.l  (A4)+, (A0)+
0017a7 0020b8: 5380                : subq.l  #1, D0
0017a8 0020ba: 66fa                : bne     $20b6
0017a9 0020b6: 20dc                : move.l  (A4)+, (A0)+
0017aa 0020b8: 5380                : subq.l  #1, D0
0017ab 0020ba: 66fa                : bne     $20b6
0017ac 0020b6: 20dc                : move.l  (A4)+, (A0)+
0017f9 0020b8: 5380                : subq.l  #1, D0
0017fa 0020ba: 66fa                : bne     $20b6
0017fb 0020b6: 20dc                : move.l  (A4)+, (A0)+
0017fc 0020b8: 5380                : subq.l  #1, D0
0017fd 0020ba: 66fa                : bne     $20b6
